,metric,groups_tested,KW_H,KW_p,group_A,median_A,IQR_A,group_B,median_B,IQR_B,U,p_raw,p_bonf,Cliff_d,effect_size,linear_R2,linear_p,quad_coeff,F_for_curvature,p_curvature,curvature_sig,OLS_slope,OLS_slope_SE,OLS_slope_95CI,OLS_intercept,TheilSen_slope,TheilSen_95CI,slope_pct_diff,Pearson_r,Pearson_p,R2,R2_boot_95CI,Spearman_rho,Spearman_p,regression,n,slope_SE,slope_95CI,intercept,intercept_SE,intercept_95CI,p_value,slope_pct_diff_OLS_vs_TS,Healthy_median,Healthy_IQR,Diseased_median,Diseased_IQR,MW_U,MW_p,Welch_t,Welch_p,effect,analysis,min_detectable_f2,min_detectable_R2,alpha,power,section,group,statistic
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,1:1,0.02724,0.02127–0.02887,19.0,0.2222,1,0.520,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,2:1,0.04324,0.02907–0.04404,12.0,1,1,-0.040,negligible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,Green,0.06498,0.05162–0.07398,4.0,0.09524,1,-0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,White,0.03017,0.0266–0.04553,15.0,0.6905,1,0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,0.5:1,0.03286,0.02871–0.04651,Black,0.02706,0.01299–0.03581,17.0,0.4206,1,0.360,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,2:1,0.04324,0.02907–0.04404,3.0,0.05556,1,-0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,Green,0.06498,0.05162–0.07398,1.0,0.01587,0.3333,-0.920,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,White,0.03017,0.0266–0.04553,8.0,0.4206,1,-0.360,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,1:1,0.02724,0.02127–0.02887,Black,0.02706,0.01299–0.03581,13.0,1,1,0.040,negligible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,2:1,0.04324,0.02907–0.04404,Green,0.06498,0.05162–0.07398,4.0,0.09524,1,-0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,2:1,0.04324,0.02907–0.04404,White,0.03017,0.0266–0.04553,15.0,0.6905,1,0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,2:1,0.04324,0.02907–0.04404,Black,0.02706,0.01299–0.03581,19.0,0.2222,1,0.520,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Green,0.06498,0.05162–0.07398,White,0.03017,0.0266–0.04553,22.0,0.05556,1,0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,Green,0.06498,0.05162–0.07398,Black,0.02706,0.01299–0.03581,24.0,0.01587,0.3333,0.920,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,White,0.03017,0.0266–0.04553,Black,0.02706,0.01299–0.03581,15.0,0.6905,1,0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ LINEARITY TESTS (F-test for curvature) ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,,,,,,,,,,,,0.9195,2.719e-11,5762,5.689,0.02898,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,,,,,,,,,,,,0.2487,0.02521,-0.3688,0.612,0.4447,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r0_um,,,,,,,,,,,,,,,0.0069,0.7518,4.215e+04,10.267,0.006367,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,alpha,,,,,,,,,,,,,,,0.1148,0.1439,0.02775,1.682,0.2119,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,y_near,,,,,,,,,,,,,,,0.2305,0.03214,1100,11.991,0.002975,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,y_far,,,,,,,,,,,,,,,0.1262,0.1243,69.1,0.054,0.8191,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,transition_width_um,,,,,,,,,,,,,,,0.0761,0.2392,-2.896e+04,1.632,0.2187,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ ROBUSTNESS: Hydrogel raw regressions (OLS vs Theil-Sen) ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,,,,,,,,,,,,,,,,,,3007,209.7,"[2596, 3418]",69.51,2825,"[2207, 3327]",-6.1%,0.9589,2.719e-11,0.9195,"[0.8587, 0.9683]",0.9539,7.484e-11,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,,,,,,,,,,,,,,,,,,,,,0.08799,0.03604,"[0.01734, 0.1586]",0.01983,0.08729,"[0.02168, 0.1626]",-0.8%,0.4987,0.02521,0.2487,"[0.0139, 0.6732]",0.5507,0.01187,,,,,,,,,,,,,,,,,,,,,,,,,,
,r0_um,,,,,,,,,,,,,,,,,,,,,398.7,1238,"[-2028, 2825]",727.4,2955,"[-2272, 3961]",641.1%,0.0829,0.7518,0.0069,"[0.0001, 0.9031]",0.1202,0.646,,,,,,,,,,,,,,,,,,,,,,,,,,
,alpha,,,,,,,,,,,,,,,,,,,,,0.002575,0.001685,"[-0.0007282, 0.005878]",0.001355,0.002631,"[-0.001761, 0.004937]",2.2%,0.3388,0.1439,0.1148,"[0.0005, 0.4446]",0.2482,0.2914,,,,,,,,,,,,,,,,,,,,,,,,,,
,y_near,,,,,,,,,,,,,,,,,,,,,-72.35,31.15,"[-133.4, -11.29]",22.18,-32.63,"[-121.5, 6.837]",54.9%,-0.4802,0.03214,0.2305,"[0.0153, 0.4874]",-0.3645,0.1141,,,,,,,,,,,,,,,,,,,,,,,,,,
,y_far,,,,,,,,,,,,,,,,,,,,,-36.08,22.38,"[-79.95, 7.785]",55.85,-41.65,"[-90.42, 5.183]",-15.4%,-0.3552,0.1243,0.1262,"[0.0050, 0.3854]",-0.4033,0.07786,,,,,,,,,,,,,,,,,,,,,,,,,,
,transition_width_um,,,,,,,,,,,,,,,,,,,,,-2171,1783,"[-5665, 1324]",1727,-1709,"[-4370, 1171]",21.3%,-0.2758,0.2392,0.0761,"[0.0004, 0.3980]",-0.2482,0.2914,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ ROBUSTNESS: Universal metrics regressions ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3007,,,,2825,"[2207, 3327]",,,,0.9195,"[0.8598, 0.9688]",0.9539,7.484e-11,"delta_um vs (1−aᵥ), hydrogels",20.0,209.7,"[2596, 3418]",69.51,30.44,"[9.854, 129.2]",2.719e-11,-6.1%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.781,,,,5.714,"[4.887, 6.717]",,,,0.9141,"[0.8287, 0.9671]",0.9462,2.952e-10,"zone_metric vs (1−aᵥ), hydrogels",20.0,0.4178,"[4.962, 6.6]",0.2576,0.06065,"[0.1387, 0.3764]",4.929e-11,-1.2%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.079,,,,7.233,"[5.838, 8.585]",,,,0.8838,"[0.7722, 0.9568]",0.9462,2.952e-10,"dtau50_dr vs (1−aᵥ), hydrogels",20.0,0.605,"[5.893, 8.265]",0.1143,0.08783,"[-0.05786, 0.2864]",7.575e-10,2.2%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.08799,,,,0.08729,"[0.02168, 0.1626]",,,,0.2487,"[0.0144, 0.6597]",0.5507,0.01187,"max_slope vs (1−aᵥ), hydrogels",20.0,0.03604,"[0.01734, 0.1586]",0.01983,0.005233,"[0.009573, 0.03008]",0.02521,-0.8%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ LEAF: Healthy vs Diseased ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dR_dr (µm/mm),,,,,,,,,,,,,-0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87,8.18–10.56,11,9.585–13.25,3.0,0.7,-0.789,0.4805,medium,,,,,,,,
,Pearson r,,,,,,,,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6236,0.5289–0.641,0.5675,0.5618–0.5714,6.0,0.7,0.083,0.9413,medium,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ POWER ANALYSIS ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Regression (single predictor), n=15",0.6126,0.3799,0.05,0.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Regression (single predictor), n=30",0.2808,0.2192,0.05,0.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy vs Diseased leaf (observed Cohen's d = 0.64),—,—,0.05,n_required_per_group = 39,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ COMPLETE MANUSCRIPT STATISTICS ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Agar,"median = 100.1, IQR = [92.4, 101.6]"
,delta_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,0.5:1,"median = 247.3, IQR = [236.9, 317.9]"
,delta_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,1:1,"median = 420.1, IQR = [363.7, 420.5]"
,delta_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,2:1,"median = 872.9, IQR = [803.2, 933.4]"
,delta_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Green,"median = 297.8, IQR = [285.6, 311.7]"
,delta_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,White,"median = 126.2, IQR = [123, 131.6]"
,delta_um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Black,"median = 111.7, IQR = [98, 125.4]"
,zone_metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Agar,"median = 0.283, IQR = [0.1757, 0.2929]"
,zone_metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,0.5:1,"median = 0.7022, IQR = [0.6251, 0.7342]"
,zone_metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,1:1,"median = 1.025, IQR = [0.791, 1.026]"
,zone_metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,2:1,"median = 1.666, IQR = [1.654, 1.832]"
,zone_metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Green,"median = 0.5498, IQR = [0.5201, 0.6539]"
,zone_metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,White,"median = 0.4398, IQR = [0.3791, 0.6044]"
,zone_metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Black,"median = 0.2752, IQR = [0.2273, 0.2929]"
,dtau50_dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Agar,"median = -0.003676, IQR = [-0.07143, 0.01021]"
,dtau50_dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,0.5:1,"median = 0.8292, IQR = [0.8174, 0.8419]"
,dtau50_dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,1:1,"median = 0.9048, IQR = [0.881, 1.085]"
,dtau50_dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,2:1,"median = 1.763, IQR = [1.745, 2.138]"
,dtau50_dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Green,"median = 0.386, IQR = [0.3259, 0.3946]"
,dtau50_dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,White,"median = 0.6515, IQR = [0.4739, 0.6711]"
,dtau50_dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Black,"median = 0.1866, IQR = [0.07143, 0.2894]"
,max_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Agar,"median = 0.01105, IQR = [0.01034, 0.01804]"
,max_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,0.5:1,"median = 0.03286, IQR = [0.02871, 0.04651]"
,max_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,1:1,"median = 0.02724, IQR = [0.02127, 0.02887]"
,max_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,2:1,"median = 0.04324, IQR = [0.02907, 0.04404]"
,max_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Green,"median = 0.06498, IQR = [0.05162, 0.07398]"
,max_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,White,"median = 0.03017, IQR = [0.0266, 0.04553]"
,max_slope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group summary,Black,"median = 0.02706, IQR = [0.01299, 0.03581]"
,"delta_um vs (1−aᵥ), hydrogels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regression,—,"slope = 3007 ± 209.7 [2596, 3418], R² = 0.9195 [0.8598, 0.9688], p = 2.719e-11, ρ = 0.9539"
,"zone_metric vs (1−aᵥ), hydrogels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regression,—,"slope = 5.781 ± 0.4178 [4.962, 6.6], R² = 0.9141 [0.8287, 0.9671], p = 4.929e-11, ρ = 0.9462"
,"dtau50_dr vs (1−aᵥ), hydrogels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regression,—,"slope = 7.079 ± 0.605 [5.893, 8.265], R² = 0.8838 [0.7722, 0.9568], p = 7.575e-10, ρ = 0.9462"
,"max_slope vs (1−aᵥ), hydrogels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regression,—,"slope = 0.08799 ± 0.03604 [0.01734, 0.1586], R² = 0.2487 [0.0144, 0.6597], p = 0.02521, ρ = 0.5507"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
