metric,trial_id,x,y,Cook_D,threshold,flagged
delta_um,agar.1,0.0,77.8,0.0007590889333005977,0.2,False
delta_um,agar.2,0.0,92.4,0.005788181859677095,0.2,False
delta_um,agar.3,0.0,163.5,0.09759838950254454,0.2,False
delta_um,agar.4,0.0,100.1,0.010337585386338924,0.2,False
delta_um,agar.5,0.0,101.6,0.011376296963803836,0.2,False
delta_um,0.5to1.2,0.07,337.3,0.015254612413762561,0.2,False
delta_um,0.5to1.3,0.07,232.3,0.010590583290460137,0.2,False
delta_um,0.5to1.4,0.07,236.9,0.008647363623986172,0.2,False
delta_um,0.5to1.5,0.07,247.3,0.004979394908917915,0.2,False
delta_um,0.5to1.7,0.07,317.9,0.006670928256082454,0.2,False
delta_um,1to1.1,0.13,420.5,0.006218335310958482,0.2,False
delta_um,1to1.2,0.13,286.6,0.11769806932518845,0.2,False
delta_um,1to1.3,0.13,420.1,0.0063434395901967216,0.2,False
delta_um,1to1.4,0.13,363.7,0.03645644830916544,0.2,False
delta_um,1to1.5,0.13,462.7,1.948126644392568e-05,0.2,False
delta_um,2to1.1,0.25,681.1,0.30725388195983994,0.2,True
delta_um,2to1.2,0.25,803.2,0.005141810048085674,0.2,False
delta_um,2to1.3,0.25,933.4,0.19616675491101188,0.2,False
delta_um,2to1.4,0.25,872.9,0.04152702433779333,0.2,False
delta_um,2to1.5,0.25,1005.4,0.5292360261186502,0.2,True
max_slope,agar.1,0.0,0.019651819677562,1.1692820150787064e-05,0.2,False
max_slope,agar.2,0.0,0.0180448591444377,0.001189468014374421,0.2,False
max_slope,agar.3,0.0,0.0110500333910048,0.028807443045627285,0.2,False
max_slope,agar.4,0.0,0.0058765445260038,0.07276639848904107,0.2,False
max_slope,agar.5,0.0,0.0103421282838834,0.03364080057804604,0.2,False
max_slope,0.5to1.2,0.07,0.0662779843527043,0.25539528460885424,0.2,True
max_slope,0.5to1.3,0.07,0.0287054653654379,0.0011620794778889033,0.2,False
max_slope,0.5to1.4,0.07,0.0465077754991263,0.06624759209314543,0.2,False
max_slope,0.5to1.5,0.07,0.0328582469395296,0.007426680266307858,0.2,False
max_slope,0.5to1.7,0.07,0.0240768744859686,0.0005744533255259613,0.2,False
max_slope,1to1.1,0.13,0.0389635174097643,0.007804034444752329,0.2,False
max_slope,1to1.2,0.13,0.0288721432903519,0.0007554805462554787,0.2,False
max_slope,1to1.3,0.13,0.0212665411826555,0.013174756961006234,0.2,False
max_slope,1to1.4,0.13,0.0084637992293114,0.0685016758921615,0.2,False
max_slope,1to1.5,0.13,0.027240754844811,0.0021354292325261835,0.2,False
max_slope,2to1.1,0.25,0.0290706016395362,0.08598712518883393,0.2,False
max_slope,2to1.2,0.25,0.0620133516726433,0.21542461494967188,0.2,True
max_slope,2to1.3,0.25,0.0279785327359506,0.10134223568297467,0.2,False
max_slope,2to1.4,0.25,0.0432388411642631,0.0010563131142670352,0.2,False
max_slope,2to1.5,0.25,0.0440422948796636,0.002598233327730792,0.2,False
r0_um,agar.2,0.0,50.00000000250712,0.2115736096061195,0.23529411764705882,False
r0_um,agar.3,0.0,1676.0359575076593,0.4150173160573119,0.23529411764705882,True
r0_um,agar.4,0.0,1630.8781502035265,0.37644744899119653,0.23529411764705882,True
r0_um,agar.5,0.0,1151.13467664704,0.08281415461684496,0.23529411764705882,False
r0_um,0.5to1.2,0.07,301.97924683554976,0.038899019761649924,0.23529411764705882,False
r0_um,0.5to1.3,0.07,435.6368010659157,0.019341363057430738,0.23529411764705882,False
r0_um,0.5to1.4,0.07,366.1209915135167,0.02866923829529272,0.23529411764705882,False
r0_um,0.5to1.5,0.07,364.4670230584151,0.028913458535363496,0.23529411764705882,False
r0_um,1to1.1,0.13,621.1833613537567,0.0035869480997815567,0.23529411764705882,False
r0_um,1to1.2,0.13,368.5739651788247,0.024223601230989086,0.23529411764705882,False
r0_um,1to1.3,0.13,488.1869887870291,0.012166447869422647,0.23529411764705882,False
r0_um,1to1.5,0.13,637.6609362289965,0.002877843124205934,0.23529411764705882,False
r0_um,2to1.1,0.25,814.9954752525969,7.575096434994076e-05,0.23529411764705882,False
r0_um,2to1.2,0.25,1064.5615744477502,0.02945505465360554,0.23529411764705882,False
r0_um,2to1.3,0.25,1108.1228294784937,0.04124988591289809,0.23529411764705882,False
r0_um,2to1.4,0.25,1006.400050305746,0.01679593856917266,0.23529411764705882,False
r0_um,2to1.5,0.25,1096.5317995573323,0.03791797454211578,0.23529411764705882,False
alpha,agar.1,0.0,0.0008663615946121,0.04075315054639223,0.2,False
alpha,agar.2,0.0,0.0009763793430743,0.024454717592466004,0.2,False
alpha,agar.3,0.0,0.0023675141774838,0.17545701328100474,0.2,False
alpha,agar.4,0.0,0.0012237089597053,0.0029273933474127925,0.2,False
alpha,agar.5,0.0,0.0019950617397301,0.07015135188209842,0.2,False
alpha,0.5to1.2,0.07,0.0022698417828949,0.03888418817987541,0.2,False
alpha,0.5to1.3,0.07,0.0011717299067184,0.009486865142205238,0.2,False
alpha,0.5to1.4,0.07,0.0025917855996895,0.08040561859266027,0.2,False
alpha,0.5to1.5,0.07,0.0015693153125733,8.574740346684471e-05,0.2,False
alpha,0.5to1.7,0.07,0.0006824898815628,0.05228051198347607,0.2,False
alpha,1to1.1,0.13,0.0013307924672791,0.007745221413639064,0.2,False
alpha,1to1.2,0.13,0.0017321260218186,0.00011055163247985883,0.2,False
alpha,1to1.3,0.13,0.0011154899410799,0.019841663640736914,0.2,False
alpha,1to1.4,0.13,0.0005768460701336,0.07457778274768063,0.2,False
alpha,1to1.5,0.13,0.0014072352631268,0.0047943706448142715,0.2,False
alpha,2to1.1,0.25,0.0014787819845907,0.0652557515529176,0.2,False
alpha,2to1.2,0.25,0.0034829219496319,0.5329343948740906,0.2,True
alpha,2to1.3,0.25,0.0020419077639653,0.0004600222334086024,0.2,False
alpha,2to1.4,0.25,0.0020440009958916,0.00050523408656101,0.2,False
alpha,2to1.5,0.25,0.0019603773265806,0.00034752468614843976,0.2,False
y_near,agar.1,0.0,13.06320673569616,0.04156759733740718,0.2,False
y_near,agar.2,0.0,15.3806168540159,0.023116251747195133,0.2,False
y_near,agar.3,0.0,52.51408069963408,0.46055826851651926,0.2,True
y_near,agar.4,0.0,37.12282464328739,0.1117820628612951,0.2,False
y_near,agar.5,0.0,44.876495312556706,0.25785044902528115,0.2,True
y_near,0.5to1.2,0.07,7.342365808402017,0.0201067041885178,0.2,False
y_near,0.5to1.3,0.07,5.072176595535568,0.030535810279458016,0.2,False
y_near,0.5to1.4,0.07,10.73498277464776,0.008567655153844372,0.2,False
y_near,0.5to1.5,0.07,4.555420557911949,0.03321308702360815,0.2,False
y_near,0.5to1.7,0.07,3.6124388381484622,0.03838853197056556,0.2,False
y_near,1to1.1,0.13,6.2031264144835,0.007610317891840565,0.2,False
y_near,1to1.2,0.13,5.12972430129894,0.010300645265513228,0.2,False
y_near,1to1.3,0.13,6.412182905232222,0.007133631972029577,0.2,False
y_near,1to1.4,0.13,14.144356220013714,0.00033210385801529845,0.2,False
y_near,1to1.5,0.13,4.859647263390643,0.011041546347052605,0.2,False
y_near,2to1.1,0.25,4.87998472811619,0.0004410219300319555,0.2,False
y_near,2to1.2,0.25,20.183006019197094,0.18324822419671213,0.2,False
y_near,2to1.3,0.25,11.134557736110988,0.035110492625143985,0.2,False
y_near,2to1.4,0.25,5.78612298939271,0.0020344282570174707,0.2,False
y_near,2to1.5,0.25,7.756088679747957,0.009507721038708861,0.2,False
y_far,agar.1,0.0,58.42952906525104,0.00646025849990252,0.2,False
y_far,agar.2,0.0,52.34342085521426,0.01190734544171888,0.2,False
y_far,agar.3,0.0,61.84879429594161,0.03490831399752251,0.2,False
y_far,agar.4,0.0,46.72730531558551,0.08064671419786221,0.2,False
y_far,agar.5,0.0,55.244222864970666,0.0003535029320527349,0.2,False
y_far,0.5to1.2,0.07,65.74113602415902,0.06293002173892297,0.2,False
y_far,0.5to1.3,0.07,54.06890391442917,0.0002275281263867232,0.2,False
y_far,0.5to1.4,0.07,46.62358058512779,0.018308414623281925,0.2,False
y_far,0.5to1.5,0.07,46.43132233019255,0.01937444963210235,0.2,False
y_far,0.5to1.7,0.07,74.16842841805524,0.17731391369785598,0.2,False
y_far,1to1.1,0.13,64.7599913919767,0.06321973057640323,0.2,False
y_far,1to1.2,0.13,38.466956034632446,0.055019932838325944,0.2,False
y_far,1to1.3,0.13,44.5416906658606,0.014951985619928788,0.2,False
y_far,1to1.4,0.13,43.48944381799224,0.020086817222811502,0.2,False
y_far,1to1.5,0.13,43.57492900566602,0.019641424590148126,0.2,False
y_far,2to1.1,0.25,44.19693873818598,0.00948154881555324,0.2,False
y_far,2to1.2,0.25,55.79296373254578,0.1101988436277351,0.2,False
y_far,2to1.3,0.25,38.538863875401496,0.09416295059314743,0.2,False
y_far,2to1.4,0.25,48.09416613728904,0.0022014009542863527,0.2,False
y_far,2to1.5,0.25,52.68855579462107,0.04709915933065568,0.2,False
transition_width_um,agar.1,0.0,2308.5049157739327,0.05173625854695294,0.2,False
transition_width_um,agar.2,0.0,2048.384179966959,0.015823525280815876,0.2,False
transition_width_um,agar.3,0.0,844.7679084758539,0.11876610499570643,0.2,False
transition_width_um,agar.4,0.0,1634.3755466836226,0.0012972783012313996,0.2,False
transition_width_um,agar.5,0.0,1002.4752418291296,0.08008160436550783,0.2,False
transition_width_um,0.5to1.2,0.07,881.1186819590448,0.030917560465761985,0.2,False
transition_width_um,0.5to1.3,0.07,1706.8780002391766,0.001125143698649986,0.2,False
transition_width_um,0.5to1.4,0.07,771.6687677559244,0.04144713438293909,0.2,False
transition_width_um,0.5to1.5,0.07,1274.4411425644996,0.005791854430838971,0.2,False
transition_width_um,0.5to1.7,0.07,2930.4463758792704,0.11818984374702676,0.2,False
transition_width_um,1to1.1,0.13,1502.8639319616132,0.00018431918299994612,0.2,False
transition_width_um,1to1.2,0.13,1154.6503977234554,0.004518040189171358,0.2,False
transition_width_um,1to1.3,0.13,1792.9341416236423,0.006541371721521141,0.2,False
transition_width_um,1to1.4,0.13,3467.1294536798314,0.22026774893293818,0.2,True
transition_width_um,1to1.5,0.13,1421.2264661105785,2.8785063974708763e-05,0.2,False
transition_width_um,2to1.1,0.25,1352.464407086726,0.006139029774791711,0.2,False
transition_width_um,2to1.2,0.25,574.2304963828894,0.08027751847898631,0.2,False
transition_width_um,2to1.3,0.25,979.4761718893768,0.009023978161690897,0.2,False
transition_width_um,2to1.4,0.25,978.4731044749618,0.009112763981509751,0.2,False
transition_width_um,2to1.5,0.25,1020.2117586661116,0.005785538133910512,0.2,False
delta_um_universal,agar.1,0.0,77.8,0.0007590889333005797,0.2,False
delta_um_universal,agar.2,0.0,92.4,0.005788181859677045,0.2,False
delta_um_universal,agar.3,0.0,163.5,0.09759838950254435,0.2,False
delta_um_universal,agar.4,0.0,100.1,0.01033758538633886,0.2,False
delta_um_universal,agar.5,0.0,101.6,0.01137629696380377,0.2,False
delta_um_universal,0.5to1.2,0.06999999999999995,337.3,0.015254612413762634,0.2,False
delta_um_universal,0.5to1.3,0.06999999999999995,232.3,0.010590583290460094,0.2,False
delta_um_universal,0.5to1.4,0.06999999999999995,236.9,0.008647363623986134,0.2,False
delta_um_universal,0.5to1.5,0.06999999999999995,247.3,0.004979394908917884,0.2,False
delta_um_universal,0.5to1.7,0.06999999999999995,317.9,0.0066709282560824985,0.2,False
delta_um_universal,1to1.1,0.13,420.5,0.006218335310958519,0.2,False
delta_um_universal,1to1.2,0.13,286.6,0.11769806932518863,0.2,False
delta_um_universal,1to1.3,0.13,420.1,0.006343439590196759,0.2,False
delta_um_universal,1to1.4,0.13,363.7,0.03645644830916553,0.2,False
delta_um_universal,1to1.5,0.13,462.7,1.9481266443923706e-05,0.2,False
delta_um_universal,2to1.1,0.25,681.1,0.3072538819598405,0.2,True
delta_um_universal,2to1.2,0.25,803.2,0.0051418100480857395,0.2,False
delta_um_universal,2to1.3,0.25,933.4,0.19616675491101154,0.2,False
delta_um_universal,2to1.4,0.25,872.9,0.04152702433779316,0.2,False
delta_um_universal,2to1.5,0.25,1005.4,0.5292360261186495,0.2,True
zone_metric_universal,agar.1,0.0,0.3441397926794747,0.020858406130717273,0.2,False
zone_metric_universal,agar.2,0.0,0.292907833093274,0.0034766567495074538,0.2,False
zone_metric_universal,agar.3,0.0,0.1757308988382027,0.01863289647740142,0.2,False
zone_metric_universal,agar.4,0.0,0.0981980177924825,0.07066918133380877,0.2,False
zone_metric_universal,agar.5,0.0,0.2829694890637769,0.0017964712861960185,0.2,False
zone_metric_universal,0.5to1.2,0.06999999999999995,0.7021516357708302,0.0018660403166732926,0.2,False
zone_metric_universal,0.5to1.3,0.06999999999999995,0.6147303351406241,0.002642995736083301,0.2,False
zone_metric_universal,0.5to1.4,0.06999999999999995,0.625087396841014,0.0016161695247175296,0.2,False
zone_metric_universal,0.5to1.5,0.06999999999999995,0.7341646471937869,0.006059427992223728,0.2,False
zone_metric_universal,0.5to1.7,0.06999999999999995,0.9616876826568228,0.10502063885669817,0.2,False
zone_metric_universal,1to1.1,0.13,1.0255444453469833,0.0002652211986779682,0.2,False
zone_metric_universal,1to1.2,0.13,0.790979337289325,0.04665644861274899,0.2,False
zone_metric_universal,1to1.3,0.13,1.025420370014671,0.0002612342651651622,0.2,False
zone_metric_universal,1to1.4,0.13,0.7076166035041049,0.08913450609122872,0.2,False
zone_metric_universal,1to1.5,0.13,1.2015042287634328,0.03630404547765587,0.2,False
zone_metric_universal,2to1.1,0.25,1.4033693022020202,0.3528403678935679,0.2,True
zone_metric_universal,2to1.2,0.25,1.6540699724941987,0.009353576847493947,0.2,False
zone_metric_universal,2to1.3,0.25,1.6655261664061316,0.0054744295969896065,0.2,False
zone_metric_universal,2to1.4,0.25,1.8316379262245437,0.0652852862826344,0.2,False
zone_metric_universal,2to1.5,0.25,2.0211734253231626,0.39875742063578756,0.2,True
dtau50_dr_universal,agar.1,0.0,0.1011904761904762,0.0002277336137051722,0.2,False
dtau50_dr_universal,agar.2,0.0,-0.0036764705882352,0.01846354098571996,0.2,False
dtau50_dr_universal,agar.3,0.0,-0.0892857142857144,0.05498491304134065,0.2,False
dtau50_dr_universal,agar.4,0.0,0.0102124183006536,0.014371899777888502,0.2,False
dtau50_dr_universal,agar.5,0.0,-0.0714285714285715,0.04576180014902649,0.2,False
dtau50_dr_universal,0.5to1.2,0.06999999999999995,0.4963235294117647,0.007193011469999715,0.2,False
dtau50_dr_universal,0.5to1.3,0.06999999999999995,1.0319917440660478,0.09952316087549712,0.2,False
dtau50_dr_universal,0.5to1.4,0.06999999999999995,0.8174019607843137,0.024061628134956554,0.2,False
dtau50_dr_universal,0.5to1.5,0.06999999999999995,0.8292483660130718,0.02688631817496622,0.2,False
dtau50_dr_universal,0.5to1.7,0.06999999999999995,0.8419117647058824,0.03007912936263797,0.2,False
dtau50_dr_universal,1to1.1,0.13,1.0845588235294117,0.0011689537354219654,0.2,False
dtau50_dr_universal,1to1.2,0.13,0.8809523809523812,0.011032261628392062,0.2,False
dtau50_dr_universal,1to1.3,0.13,1.2916666666666667,0.030908711456481146,0.2,False
dtau50_dr_universal,1to1.4,0.13,0.904761904761905,0.007877237362116561,0.2,False
dtau50_dr_universal,1to1.5,0.13,0.8601190476190478,0.014227777701641816,0.2,False
dtau50_dr_universal,2to1.1,0.25,1.762820512820512,0.027564072587556755,0.2,False
dtau50_dr_universal,2to1.2,0.25,1.744505494505494,0.036523006368078384,0.2,False
dtau50_dr_universal,2to1.3,0.25,1.3344988344988344,0.5665358102585686,0.2,True
dtau50_dr_universal,2to1.4,0.25,2.2474747474747474,0.2477992536604919,0.2,True
dtau50_dr_universal,2to1.5,0.25,2.138278388278388,0.12126474939667424,0.2,False
max_slope_universal,agar.1,0.0,0.019651819677562,1.169282015078798e-05,0.2,False
max_slope_universal,agar.2,0.0,0.0180448591444377,0.00118946801437443,0.2,False
max_slope_universal,agar.3,0.0,0.0110500333910048,0.028807443045627323,0.2,False
max_slope_universal,agar.4,0.0,0.0058765445260038,0.07276639848904111,0.2,False
max_slope_universal,agar.5,0.0,0.0103421282838834,0.03364080057804608,0.2,False
max_slope_universal,0.5to1.2,0.06999999999999995,0.0662779843527043,0.25539528460885436,0.2,True
max_slope_universal,0.5to1.3,0.06999999999999995,0.0287054653654379,0.001162079477888904,0.2,False
max_slope_universal,0.5to1.4,0.06999999999999995,0.0465077754991263,0.06624759209314546,0.2,False
max_slope_universal,0.5to1.5,0.06999999999999995,0.0328582469395296,0.007426680266307861,0.2,False
max_slope_universal,0.5to1.7,0.06999999999999995,0.0240768744859686,0.0005744533255259615,0.2,False
max_slope_universal,1to1.1,0.13,0.0389635174097643,0.0078040344447523145,0.2,False
max_slope_universal,1to1.2,0.13,0.0288721432903519,0.000755480546255483,0.2,False
max_slope_universal,1to1.3,0.13,0.0212665411826555,0.01317475696100625,0.2,False
max_slope_universal,1to1.4,0.13,0.0084637992293114,0.06850167589216151,0.2,False
max_slope_universal,1to1.5,0.13,0.027240754844811,0.0021354292325261905,0.2,False
max_slope_universal,2to1.1,0.25,0.0290706016395362,0.0859871251888339,0.2,False
max_slope_universal,2to1.2,0.25,0.0620133516726433,0.21542461494967183,0.2,True
max_slope_universal,2to1.3,0.25,0.0279785327359506,0.10134223568297464,0.2,False
max_slope_universal,2to1.4,0.25,0.0432388411642631,0.0010563131142670348,0.2,False
max_slope_universal,2to1.5,0.25,0.0440422948796636,0.002598233327730791,0.2,False
