track_id,distance_um,death_cause,lifetime_s,n_frames_evap,n_frames_total,K_fit,R2_gof,R0_fit_um,K_fit_se
0,3214.885027475284,lost,330,30,30,11.021046891756795,0.6440170065834696,84.95060127872986,1.5484949447804504
1,2566.3413463352335,lost,490,22,34,4.266142514698187,0.5358633875179958,50.168224102723855,0.887802233082012
2,2363.929406147604,lost,720,12,41,22.61269793825526,0.613410500726314,72.98353794548693,5.676776617910383
3,2162.346349769038,lost,360,13,29,15.681495149144059,0.622614052998816,69.6095951505891,3.681073829866366
4,1788.561036278099,lost,450,18,30,14.087003493520774,0.8358024643553089,66.11916465047462,1.5609540708930585
5,1455.5134785391688,lost,660,8,35,27.95182923327431,0.5997244073755167,70.1203780252452,9.32262685949567
6,1167.579356520778,lost,170,7,16,13.37320366846527,0.8738975270953789,44.494566731215244,2.2718622909787087
7,1051.2949461826315,lost,660,14,29,0.7139341413352123,0.33251096234990496,22.696567659857177,0.2920025290099614
8,879.0022550129347,lost,530,12,24,4.114797467130823,0.8207972794026831,38.84300726428785,0.6079989217044913
9,757.7641753823448,lost,140,7,7,3.0742104346025063,0.9087255278347093,25.38497922241276,0.43571939409290095
10,790.5973200205786,lost,140,5,7,9.259297181002696,0.779771008747498,35.683113687376114,2.840999114580177
11,2750.3311743222594,lost,540,27,35,4.261748018826798,0.6472517853733196,47.15459353784007,0.6292359791482877
12,1069.3012605611282,lost,540,12,25,8.652496648766668,0.7754159455638074,41.80955861507042,1.4725279095954924
13,2032.1094599751473,lost,870,23,44,5.746424000488957,0.8134308722456842,50.016834697413756,0.6005478062823986
14,2900.5196144126903,lost,380,25,31,8.479815000774042,0.737765824980335,57.30218193205922,1.0541631662926108
15,3038.587238825363,lost,570,25,38,11.417881412444261,0.6233456434872022,72.09315163966903,1.8506685439119475
16,952.9736199541767,lost,370,14,18,7.611195720253082,0.6911893612399824,56.47145345505365,1.4686214643290363
17,1331.4283874061716,lost,590,7,30,27.04332676380227,0.9574273619702484,52.113748092213825,2.5502777228559093
19,2636.8824161457505,lost,760,28,43,7.190109936653522,0.7294565192893707,60.45557949766974,0.8587518553986093
20,1653.2757913107387,lost,660,17,35,9.304739503801052,0.7466332957902102,50.16754790517414,1.3995218525283495
21,1914.5379978439128,lost,440,24,29,5.981933662395701,0.7306180650087826,57.98785376051895,0.7744070233966858
22,1101.1349190816213,lost,670,13,30,8.415505074612518,0.7992242266577658,45.59164747927289,1.271760047046242
23,2795.46616833644,lost,760,29,43,3.8922570198888327,0.6330950528621628,48.839015186068,0.5702456123501539
24,1516.050937032631,lost,360,9,25,38.64455630148913,0.7563350719783961,70.5703847658376,8.290461316804935
25,2411.3760356369467,lost,400,17,31,23.301668806849086,0.6933862307716806,87.11310312919473,4.00082555967276
26,982.6026989299213,lost,620,11,27,13.814960741015714,0.7439966512171649,47.74322067800566,2.701255929256497
27,1756.7601454768528,lost,290,22,24,9.234590205432777,0.7770045704863745,60.14130665170732,1.1062131692229331
28,1221.5449936555951,lost,750,14,34,7.931707016527584,0.716829089181779,47.52058411098091,1.4391052222463643
29,2071.6502933696975,lost,440,13,31,20.512282318548248,0.6470313732281768,81.79715706226234,4.5679677141578034
30,779.3299758857896,lost,510,7,20,9.430174000820832,0.4290927041061809,46.12506631162571,4.8645417540704905
31,2211.0455958020266,lost,770,8,42,22.86792196812546,0.9381029593541796,53.50775715912595,2.3980639818571086
32,2890.321729802047,lost,350,29,30,9.29483213679006,0.6136086756233343,80.36515767982613,1.4194745371819095
33,1324.7468349228623,lost,330,6,22,60.04822780514521,0.7204226028892391,74.53750464224342,18.703701489793406
34,878.5136442365481,lost,500,9,21,10.807867138130572,0.7867798403705423,48.08112874983082,2.1265641959095687
35,1616.8877476678438,lost,660,18,35,8.153327207134732,0.7085597154540183,48.703679778067844,1.3072584050884926
36,1085.6854039605867,lost,170,12,14,24.05931671781577,0.8872363878926292,69.40496978397735,2.712364841109182
37,2694.1336939123717,lost,600,23,37,8.333152681774376,0.7683685985563498,58.06261978288625,0.9984207658599141
38,1834.3500666836394,lost,570,21,34,4.071484788614012,0.46633289201371597,61.80712715970523,0.9992248127083556
39,3064.2538433263676,lost,450,19,32,6.623916076990308,0.46133440473154197,57.894915500268304,1.7359693684871023
40,969.0484991433042,lost,640,11,27,9.648184640446143,0.8391468066661807,44.060898566090465,1.4080569542068746
41,3260.2109718961133,lost,300,27,29,2.745971361832805,0.37814002278259345,69.86550571695227,0.7042810119029121
42,1668.424351038793,lost,820,21,41,7.146627995887526,0.8023600800320505,47.69414936745658,0.8137238664649732
43,1449.368710778027,lost,470,7,28,25.90769867696221,0.699889029836734,57.137398707161324,7.587001629266986
44,1926.7149070114037,lost,750,25,32,0.3927269392253843,0.20547963470508712,30.063350280446336,0.16102559002514977
45,791.37168049253,lost,150,8,8,10.670587862250118,0.6722956807789502,50.629915527129434,3.041400711342396
46,2175.6761000630886,lost,660,31,31,0.5187798463905432,0.4165939743055074,33.94452172299035,0.11400215488519726
47,1560.7797165791922,lost,600,19,33,10.700015675380385,0.7668083559334165,55.36879968000986,1.4311100350092856
48,3124.0157574320906,lost,810,25,44,6.059045381827524,0.8458443731119208,49.40502113681538,0.5393550456505545
49,929.2779651418167,lost,450,11,20,10.40452761880458,0.7070675041092988,57.08310849024084,2.23230971640701
50,2263.557223237622,lost,360,25,29,6.237575580646167,0.4000042396225854,72.63942027250872,1.592919015168469
51,1194.0260235533358,lost,320,12,19,6.798448130474776,0.8616645896490582,40.64073994905417,0.86140491775495
52,2399.9250114062575,lost,430,25,32,11.253746755559753,0.7588660012782463,72.9732479654697,1.3227564746216107
54,1689.44877457545,lost,290,11,24,23.923769314117298,0.8976387335417305,67.2289283632272,2.6929319837712073
55,1909.1765213228682,lost,720,23,39,1.3385150019592889,0.2219404922467916,54.77361009895748,0.5468922012106499
56,2860.1863311113825,lost,670,25,40,7.848602335506008,0.7532559590484631,58.37921357688523,0.9366567251811077
57,2076.3884991147743,lost,320,23,27,7.950116661920858,0.4798421734707056,68.93979324855556,1.8062681132239262
58,2567.7116182383065,lost,350,27,30,14.637206664659017,0.5735323967275319,101.86318532627553,2.5243655563315985
59,1031.8329199117122,lost,680,11,29,8.16620243033217,0.893717376395249,43.05371279057898,0.9387067027670213
61,3019.1323871958502,lost,320,22,29,9.247401556544194,0.6337107317286491,73.09496764904004,1.572067846966088
62,815.9345472004156,lost,320,6,13,7.402155537047948,0.5961107646706977,42.666790674329135,3.046462717872781
63,1292.293354611659,lost,750,13,34,7.844569399864284,0.9256811297002655,40.43426198396178,0.6701802286840312
64,1209.9638525906162,lost,630,15,30,4.460223228817121,0.6096362038582173,41.711227516907584,0.9898840130583562
65,1369.5095444546328,lost,450,16,26,8.294747232573124,0.6863153071836385,53.484250395662656,1.4987319269055814
66,956.0986339821181,lost,540,7,23,12.883464056015503,0.8213520517826101,35.64268671042673,2.687088629008833
67,1787.6794983144944,lost,530,20,32,4.818674186284928,0.620447261740655,55.34323917439332,0.8883312464371907
69,1118.6170225954602,lost,460,10,23,0.9812285509929041,0.07392899188560921,44.66471999653085,1.22783479097504
70,820.247217586048,lost,90,6,6,19.58380404871986,0.769176244622943,46.460269002722434,5.364069289395853
72,2717.310444130744,lost,520,29,35,5.923510370126078,0.6524265189671227,66.25676485384571,0.8320602693949285
73,3214.135555572709,lost,630,12,40,19.642908060401616,0.7597495265358956,73.07035498795327,3.4930330190211514
74,1902.7555139522754,lost,550,24,34,6.165390716966864,0.4550658624327326,65.01931403612299,1.438414799375791
75,2270.1955568529925,lost,730,25,40,3.94944088935685,0.7399963872080514,54.626970399516516,0.4881424671034154
77,1010.1336196402826,lost,120,10,11,14.83706698699595,0.8668951539583839,53.263732747710065,2.055496350706182
78,1223.707083752215,lost,440,5,25,57.18265959935217,0.886779552542041,65.67604281194052,11.796639875874474
79,2893.7621475026444,lost,380,20,31,12.745208807680143,0.6163029196634149,73.20273857947632,2.3703246729176093
80,844.1528846872186,lost,520,9,21,6.352218071826315,0.7077391317822497,42.688192892619604,1.5428549904213624
81,919.6693241941159,lost,450,7,20,16.897199575440776,0.9301816383158028,39.99237685863823,2.070287581969202
82,1651.8650977075188,lost,560,8,33,22.309965807403717,0.8994026718720223,64.66894670190563,3.046066748302039
83,2042.4954364528776,lost,640,14,33,4.6094124891426,0.8064898872879355,44.626054395606694,0.6517894417223334
87,1094.409211347184,lost,670,13,30,5.1954915541036115,0.812902959820464,45.14038931537456,0.7515266862581038
88,2136.5453146574955,lost,470,11,32,25.141171226452908,0.5888283377462357,74.26516986870745,7.002957451970723
89,2441.1512295417283,lost,580,24,37,7.5110997133860185,0.633353961343098,68.61315588959722,1.218407153125277
90,2596.4025674409704,lost,850,17,40,4.035016948544464,0.7612895016961698,35.817939668100486,0.5833921391698474
91,3056.0921334491713,lost,620,14,39,23.334463707690208,0.8073742418880515,68.44619971320792,3.2902351418336897
92,832.9353731551522,lost,510,11,20,1.890314978215127,0.35056262588770226,39.261517103086156,0.8576276083245875
93,1963.367300587011,lost,760,18,39,6.632700884903209,0.9056255407902958,48.72972273182118,0.5352828484850758
94,962.8503801923828,lost,670,18,28,1.2292172165410749,0.31187165327675104,43.20587422748824,0.45647333801392403
95,901.9683556959269,lost,560,10,23,2.34669976794985,0.7411693567019397,31.905885031729788,0.490299731144347
97,1270.3334847717483,lost,610,14,30,8.524417521851408,0.6727014036778068,51.77426378469127,1.7164651669588957
98,2702.9868275211084,lost,610,27,38,5.397731697016964,0.45817530951669,62.34184583542897,1.173964174661416
100,1776.5518883340071,lost,380,22,27,5.583654381915682,0.7550496080657225,79.96989956168831,0.7111395894654915
101,3190.0202781111398,lost,770,26,44,4.874520174674308,0.4758841672594765,54.1897255725338,1.044213402223351
102,2294.082137777091,lost,360,24,29,8.002723810124817,0.5591643061665483,77.21924294663125,1.5149389919403076
103,2816.2875762217523,lost,730,28,42,4.039806055261885,0.6015639822391501,49.034547953140354,0.6447809895476987
104,2582.186835414324,lost,340,10,15,1.6326755595608293,0.4190151128921811,29.09443641937135,0.6797081419718721
105,1635.2119122651675,lost,800,19,39,7.03899312355528,0.9031106484804897,41.57129626583981,0.5591825668502084
107,1151.1980270101315,lost,540,14,27,4.538726920404025,0.2605669901862199,55.88013271769411,2.2071566082177183
108,2516.6072769678067,lost,820,37,42,0.6033158128063429,0.30156749289560136,33.5447335249523,0.15519604358809733
109,1517.547484956883,lost,420,8,27,34.10827413599427,0.8602865652957061,67.0319776249971,5.611534456928223
110,1044.6093485676683,lost,300,12,17,2.3727744420491175,0.5516016073416405,43.46710710434822,0.6765123322657274
111,884.3127105850897,lost,470,8,20,5.533681861388934,0.8544021390294939,33.050429260876136,0.9325774202436794
112,2927.41440378809,lost,750,9,42,29.507166533875637,0.8534832762459027,58.242018010827614,4.620878818396541
114,2595.3830677913456,lost,710,16,42,17.300751139584165,0.7302516288030076,70.44866805512326,2.8102443906349865
115,1276.0827590261351,lost,710,10,28,1.8375953673872756,0.7371125035450058,35.18057523244469,0.38799217782536133
116,1386.9016193315397,lost,510,16,28,10.032947097476361,0.7335888079600501,55.84995575937447,1.6158996574232616
117,3107.8726274760133,lost,850,27,45,7.0723584778513295,0.8646279147991807,58.095782737008676,0.5596856787454313
118,959.9727511677734,lost,280,10,15,6.007610760194892,0.8918766268545111,40.29087969610904,0.7395443009430975
119,822.8949622328805,lost,350,7,13,2.49068415250093,0.931172786374174,31.37063275297348,0.30282980141961136
120,2166.691284445953,lost,260,25,25,5.94867106738734,0.5972515060129682,63.62162740355438,1.0185781906133287
121,2469.9686496679114,lost,670,25,38,2.199616890129561,0.7114868948747609,42.730388128694266,0.292066971718945
122,858.9406723338825,lost,490,7,20,4.414878708214212,0.7926924433750042,37.02208279490733,1.009692154612365
123,2776.47686609741,lost,440,27,33,8.058288296762655,0.5820426943415863,69.52471619551723,1.3657189506655294
126,1194.375104323495,lost,740,13,31,5.190892437319392,0.6193168966016416,38.58832222386481,1.2270747606133032
127,1628.5240709498335,lost,210,17,20,9.32860717743991,0.8142532916057065,56.1026998367337,1.150408224192891
129,2376.7604384952087,lost,670,16,38,6.3882072042088955,0.8604850935968688,44.401703184414664,0.6874697715700965
131,899.4696389267517,lost,380,10,17,3.9385563226016793,0.7752251551060436,44.66599218628077,0.7498113186102527
132,1118.6991489246016,lost,520,13,25,3.0155678318866994,0.6573609150329777,40.60725167698935,0.6564312847773768
133,3132.449140455475,lost,760,24,43,6.7448326044934435,0.7130539766125685,56.61732343248681,0.9122182097447905
134,1521.3356974264732,lost,620,15,33,7.264470918004885,0.7229555012583465,53.07475306169404,1.2472436322528875
135,2484.2265188916485,lost,480,25,33,4.643237462895818,0.7118316447643478,53.75975415732918,0.61601526641053
136,780.8182116225258,lost,100,5,5,3.9596848407204326,0.7933651559821696,25.46787322659292,1.1667161528762708
137,2654.289475497782,lost,610,28,38,4.885621894507074,0.6650984765244445,58.90723295092439,0.6799058287156508
138,1747.0668426617692,lost,760,19,39,4.918979699247563,0.8827119669635564,57.433579626815565,0.43487847677473923
139,1196.8367494933143,lost,510,12,26,7.088211975359922,0.6233465945367364,50.28105152064227,1.7423798918235747
140,1321.1032161686576,lost,330,15,22,11.945506233041057,0.5513341894686152,63.729540835040574,2.9887315549498665
141,822.4220982994487,lost,470,5,18,1.6123776138625074,0.3043448143898519,23.731066211995408,1.4074085747521767
142,2313.5428973821945,lost,330,28,28,5.523388234493972,0.5357241107046327,81.55320741199685,1.0084081929209319
143,2097.581553894118,lost,270,26,26,13.94903950073945,0.5724938447984071,87.74903815936507,2.4605061700678412
145,1084.9758454849864,lost,280,13,17,4.023738051906339,0.26410176804046653,47.935734777471964,2.025147139879976
146,2543.1755114858956,lost,780,42,43,0.3394854867982101,0.05496040437629745,44.16300395787088,0.2225826249761093
147,923.0429199978023,lost,230,9,12,4.857964593704621,0.8749078375428109,42.71886890096173,0.6942873010244649
148,2757.826262785391,lost,550,25,36,6.746922976761984,0.6832852758009652,54.605891443274935,0.9578002153499504
149,1404.4022333626888,lost,490,18,28,8.132407742377154,0.5012513917953095,65.68335078564216,2.0280198731246766
150,1547.4076086805744,lost,360,19,25,8.854337787518588,0.6046018772637737,65.59334677019758,1.736657519882343
151,2937.811246820772,lost,390,32,32,11.40777287652121,0.43158098930978384,110.34704802974127,2.390250307469498
153,1169.7272770735058,lost,570,10,26,6.394647195556223,0.573560108079135,37.508246476744866,1.9494452317325306
154,3159.6303006660314,lost,590,26,38,2.8629378193696726,0.5310396819588338,46.97160044400138,0.5491751218781017
155,1897.406398346393,lost,810,9,42,8.086302882793758,0.8243406163447599,66.85297349898383,1.4108580235012371
156,988.6126699586928,lost,640,10,27,3.81882216728466,0.7786943312091509,39.046705445052126,0.7197757390641047
158,1745.35200849852,lost,370,19,26,3.8332594783291745,0.8922594004938798,60.193130369343216,0.323063493671335
159,2607.7383666716855,lost,610,26,38,5.4756281805662015,0.710839960385344,55.57997172576576,0.7128719883949448
161,2475.726073620991,lost,600,26,37,4.115477361816452,0.8493767428844619,47.173223130879585,0.3537613894127646
162,877.614969391228,lost,560,9,23,7.0325477977237245,0.8241187884353766,42.28987219015371,1.2279437958652508
163,2392.97091520788,lost,810,21,42,4.118286430980751,0.8702243017154099,39.26026619348967,0.3648554451335309
164,2687.6790632477014,lost,640,27,39,4.8577421594283505,0.685469562385253,50.78021478636536,0.6581148752267308
165,1035.6394157801317,lost,230,11,14,4.645732828824732,0.854480261380937,46.199524780979885,0.6390618777942305
166,2200.5416051781935,lost,620,21,37,3.1495182437184597,0.4890403893863925,56.29784770591317,0.7385641951935452
167,3105.5223179602676,lost,370,27,30,5.961521702166307,0.8286650971992185,53.83491651012762,0.5421513239795223
168,815.9801001764288,lost,260,5,11,3.771901197080303,0.9621523514191522,25.650171739954512,0.43191392821288077
169,924.9777986009293,lost,140,9,9,5.18440509329674,0.7132386486879417,41.881662070747986,1.2424896607162998
170,1452.5036337233278,lost,610,13,28,3.269405635346022,0.5165017284794146,38.03872681931068,0.9537488725921689
172,1197.7855854666836,lost,200,17,17,19.161538087088235,0.4366820439560704,102.35765097428745,5.619256639657022
173,2468.8252620460994,lost,400,26,31,7.398725371919306,0.6361148022043425,73.25537151665486,1.1422620033740682
176,837.3598063571457,lost,200,6,9,3.6601786990196623,0.9532962403969845,27.933687214306236,0.40507391234846285
177,2621.102564393179,lost,700,26,41,4.547247366462985,0.6277255620964436,51.16427755056417,0.7148084213508239
178,2308.7755675693797,lost,570,25,36,4.504173979928479,0.5798660747672846,61.653530963141606,0.7994315146284404
179,1020.3497784424289,lost,580,10,25,4.962263833540644,0.8105809892891221,35.32050265173918,0.8481026743400554
180,1634.0182646362039,lost,220,10,21,11.070538488166223,0.45575632790343634,89.60451363336077,4.277146177312102
181,957.7239056505409,lost,440,8,19,2.8289107991663625,0.9583871643906173,30.666513510814607,0.24065051169410429
182,1955.3610341959263,lost,370,23,28,5.34846322415819,0.5648257399580487,71.75489125097114,1.0244569813683264
183,2743.837029228791,lost,530,27,36,5.62912400822976,0.5215843098683425,72.60614419307569,1.0782296238618976
184,1472.0369153613449,lost,750,18,36,4.179225514293409,0.688006494203574,47.29143642733271,0.703578117364521
185,2115.3956489106686,lost,590,9,36,9.42169110463145,0.4924526000389204,73.21427221901874,3.6152299634875855
186,3138.7887013169825,lost,850,24,46,4.987137488222405,0.8562787689571796,47.42225160504427,0.4356050210777472
187,2873.2124015913573,lost,830,42,46,0.6305633230996698,0.08471812935601238,52.531082147788695,0.32770869300382705
188,880.0635684154587,lost,400,8,17,2.6854358894269246,0.7385353810845642,35.392868363341925,0.6523189199703627
192,1352.9969807930897,lost,380,8,23,10.326723599393699,0.8526008424223941,54.806388613417944,1.7529177949822476
193,825.9043797991583,lost,190,7,8,0.646608528430842,0.24665862419983176,19.4777327452382,0.5053638637654555
194,2482.8068491866566,lost,900,22,45,2.7542908673365,0.7189622739992197,37.39354047089117,0.38505615022924794
195,2379.5532807506597,lost,480,26,33,5.439787952269986,0.7415403991107541,60.88900243510824,0.6555491769828365
196,899.7750958746443,lost,430,7,18,2.351151718769853,0.5684237003335538,32.052870563382726,0.9161959285216007
197,1472.1559520627422,lost,260,18,21,9.742181064752087,0.44076229310696813,68.09812977552026,2.7434194405322887
198,2937.630293251734,lost,670,29,40,3.141371762189344,0.4449299988483299,54.3056200782617,0.6752513909140728
199,951.2990025479448,lost,490,19,19,0.2993319778392664,0.1819940214989533,25.45831473810527,0.1539140735961202
200,1056.0806928866955,lost,590,9,26,1.5159057698082803,0.1851831222783132,41.856669330049215,1.2018561577475662
201,848.1343939967575,lost,260,6,11,3.484485513120858,0.7806061290029758,23.60760358833866,0.9236446831891969
203,2224.7201435519587,lost,410,16,30,6.742081998058468,0.8524417950414778,65.50365044950333,0.7496858720259245
204,2832.212930951845,lost,940,30,49,2.104230342734591,0.42775895778564316,48.66575123148243,0.4599432060315416
205,2669.0271762469756,lost,850,26,46,4.420283499272738,0.7281598197688542,53.04233273576258,0.551299974882735
206,2543.9632937567885,lost,610,26,38,5.20889308498412,0.5883295502876975,67.76918160094387,0.8894147720871588
